game_id,similar_games
10,"[30, 34870, 21100, 325610, 266840]"
30,"[70, 50, 10, 223470, 34870]"
50,"[70, 30, 223470, 58610, 210770]"
70,"[50, 30, 223470, 58610, 221910]"
80,"[41070, 313160, 22600, 113400, 235600]"
220,"[380, 420, 280, 320, 57900]"
240,"[320, 300, 99900, 242720, 280]"
280,"[420, 220, 380, 48000, 300]"
300,"[48000, 240, 280, 320, 220200]"
320,"[240, 24200, 300, 420, 380]"
380,"[220, 420, 280, 320, 57900]"
400,"[209080, 9900, 17300, 320, 9200]"
420,"[380, 220, 280, 320, 4500]"
440,"[99900, 300, 218680, 223470, 248570]"
500,"[17450, 22600, 9480, 57900, 39120]"
550,"[223470, 245170, 2600, 218680, 200170]"
570,"[242720, 386360, 248570, 250400, 204030]"
620,"[238010, 307780, 48190, 41070, 221910]"
630,"[210770, 17500, 67370, 320, 12220]"
730,"[207140, 386360, 218620, 200210, 202970]"
1250,"[232090, 238430, 17500, 21100, 16450]"
2600,"[292030, 234650, 244160, 246620, 291650]"
3830,"[207170, 201790, 41500, 102600, 236090]"
3900,"[17300, 220440, 24980, 17460, 12120]"
4000,"[265930, 248570, 200210, 209080, 259080]"
4500,"[107100, 102500, 57300, 17300, 280]"
4780,"[214950, 325610, 292030, 291650, 251060]"
4920,"[218230, 40100, 58610, 323470, 244160]"
7940,"[57900, 22300, 242050, 298630, 250400]"
8190,"[259080, 233720, 223470, 48190, 200210]"
8870,"[235460, 237930, 50300, 17470, 204100]"
8930,"[65980, 289130, 9900, 245620, 200170]"
9200,"[21100, 209160, 202970, 34830, 50300]"
9450,"[15620, 55150, 45760, 102500, 40100]"
9480,"[50130, 22600, 55230, 67370, 12120]"
9900,"[65800, 236110, 213670, 55100, 313120]"
10090,"[323470, 311210, 242700, 34870, 33900]"
10180,"[42700, 34830, 55100, 57900, 17450]"
10680,"[16450, 238320, 239160, 21100, 246620]"
12120,"[220440, 3900, 266840, 39140, 9480]"
12210,"[12220, 57900, 259080, 105450, 108710]"
12220,"[12210, 273110, 204100, 291550, 34870]"
15620,"[9450, 55150, 45760, 291650, 242700]"
16450,"[10680, 238320, 21100, 239160, 246620]"
17300,"[41500, 201790, 102600, 3900, 102500]"
17410,"[110800, 204100, 250320, 24740, 48190]"
17450,"[500, 22600, 3900, 57900, 9480]"
17460,"[24980, 18500, 204030, 39150, 3900]"
17470,"[57300, 107100, 41070, 221040, 251570]"
17500,"[113200, 250900, 1250, 232090, 200210]"
18500,"[24980, 17460, 204030, 39150, 3900]"
20920,"[307780, 207170, 3830, 45760, 50300]"
21100,"[16450, 9200, 10680, 239160, 238320]"
22300,"[7940, 239030, 391540, 243470, 235460]"
22350,"[335300, 236430, 207140, 291650, 9200]"
22380,"[39150, 2600, 266840, 234650, 207170]"
22600,"[17450, 500, 9480, 219640, 50130]"
24200,"[39120, 320, 224600, 113400, 234630]"
24240,"[238430, 280, 242700, 41070, 210770]"
24740,"[204100, 17410, 110800, 201870, 250320]"
24960,"[22350, 234630, 45760, 237930, 33900]"
24980,"[17460, 18500, 204030, 39150, 3900]"
33900,"[33930, 248570, 34870, 10090, 113400]"
33930,"[33900, 248570, 200170, 113400, 34870]"
34830,"[34870, 9200, 21100, 10680, 16450]"
34870,"[34830, 234140, 21100, 311210, 9200]"
39120,"[24200, 359320, 386360, 261640, 289130]"
39140,"[391540, 239030, 243470, 235460, 235600]"
39150,"[24980, 17460, 261640, 250400, 289130]"
40100,"[218230, 4920, 244850, 244160, 323470]"
41070,"[57300, 21100, 9200, 17470, 80]"
41500,"[201790, 102600, 102500, 207170, 107100]"
42700,"[10180, 34830, 55100, 57900, 202970]"
42910,"[209080, 2600, 99900, 237930, 22600]"
44350,"[311210, 234630, 298110, 234140, 34870]"
45760,"[9450, 15620, 307780, 57300, 291650]"
47810,"[241600, 221910, 316010, 204030, 234650]"
48000,"[300, 220200, 280, 17300, 4500]"
48190,"[17410, 204100, 110800, 250320, 24740]"
48240,"[236850, 203770, 58610, 57690, 251060]"
48700,"[244850, 102500, 4500, 204030, 58610]"
49520,"[39140, 212070, 200170, 261640, 245170]"
50130,"[9480, 67370, 55100, 22600, 50300]"
50300,"[9200, 209160, 202970, 21100, 67370]"
55100,"[231430, 228200, 9900, 65800, 50130]"
55150,"[15620, 9450, 242700, 209000, 228200]"
55230,"[9480, 67370, 221040, 99900, 245170]"
57300,"[17470, 107100, 41070, 221040, 45760]"
57690,"[245620, 255710, 48240, 201870, 242050]"
57900,"[7940, 9200, 242050, 17450, 22300]"
58610,"[251060, 48240, 4920, 236850, 244850]"
