game_id,similar_games
10,"[30, 34870, 21100, 105450, 325610]"
30,"[70, 50, 10, 223470, 212680]"
50,"[70, 30, 223470, 346010, 210770]"
70,"[50, 30, 223470, 346010, 210770]"
80,"[41070, 313160, 22600, 113400, 21100]"
220,"[380, 420, 280, 320, 57900]"
240,"[300, 320, 99900, 242720, 280]"
280,"[420, 220, 380, 4500, 3900]"
300,"[240, 320, 228200, 231430, 99900]"
320,"[240, 300, 24200, 420, 380]"
380,"[220, 420, 280, 320, 57900]"
400,"[209080, 17300, 9900, 22350, 280]"
420,"[380, 220, 280, 320, 57900]"
440,"[300, 99900, 218680, 248570, 223470]"
500,"[24960, 17450, 22600, 102500, 39120]"
550,"[245170, 200170, 218680, 223470, 9450]"
570,"[250400, 242720, 386360, 236090, 316010]"
620,"[48190, 238010, 307780, 17410, 16450]"
630,"[210770, 17500, 55150, 320, 67370]"
730,"[207140, 386360, 219150, 218620, 202970]"
1250,"[232090, 238430, 17500, 16450, 21100]"
2600,"[57690, 245620, 246620, 48240, 289130]"
3830,"[236090, 207170, 107100, 219150, 238010]"
3900,"[17300, 12120, 18500, 17450, 57690]"
4000,"[265930, 248570, 209080, 300, 207140]"
4500,"[57300, 48000, 280, 102500, 17470]"
4780,"[214950, 325610, 292030, 105450, 291650]"
4920,"[218230, 323470, 40100, 251060, 58610]"
7940,"[22300, 242050, 250400, 57900, 298630]"
8190,"[41070, 201870, 17410, 238090, 298110]"
8870,"[235460, 282070, 237930, 238010, 200170]"
8930,"[65980, 200170, 4780, 9900, 242920]"
9200,"[209160, 202970, 21100, 41070, 298110]"
9450,"[15620, 45760, 55150, 102600, 201790]"
9480,"[50130, 55230, 22600, 17450, 108710]"
9900,"[213670, 65800, 40100, 204880, 65980]"
10090,"[259080, 233720, 200210, 223470, 298630]"
10180,"[42700, 55100, 34830, 57900, 24960]"
10680,"[238320, 16450, 104900, 234140, 21100]"
12120,"[17300, 3900, 220440, 266840, 280]"
12210,"[12220, 57900, 105450, 33900, 259080]"
12220,"[204100, 24740, 12210, 50300, 67370]"
15620,"[9450, 45760, 55150, 242700, 282070]"
16450,"[10680, 238320, 104900, 21100, 234140]"
17300,"[3900, 12120, 220440, 201790, 102600]"
17410,"[24740, 204100, 201870, 50300, 67370]"
17450,"[500, 57690, 245620, 48240, 3900]"
17460,"[24980, 204030, 18500, 47810, 3900]"
17470,"[57300, 48000, 251570, 4500, 242760]"
17500,"[113200, 250900, 1250, 232090, 238430]"
18500,"[24980, 17460, 3900, 204030, 57300]"
20920,"[307780, 207170, 3830, 45760, 47810]"
21100,"[9200, 209160, 202970, 16450, 50300]"
22300,"[7940, 242050, 250400, 57900, 243470]"
22350,"[34830, 65800, 335300, 287700, 236430]"
22380,"[22300, 39150, 21100, 207170, 234650]"
22600,"[9480, 500, 24960, 219640, 17450]"
24200,"[320, 39120, 234630, 113400, 291550]"
24240,"[238430, 316010, 280, 210770, 238010]"
24740,"[204100, 50300, 17410, 67370, 201870]"
24960,"[236110, 500, 22600, 17450, 237930]"
24980,"[17460, 204030, 18500, 47810, 3900]"
33900,"[33930, 222880, 251060, 259080, 10090]"
33930,"[222880, 33900, 251060, 113400, 30]"
34830,"[34870, 239160, 57900, 246620, 209160]"
34870,"[239160, 34830, 246620, 57900, 235460]"
39120,"[238960, 291550, 24200, 248820, 242720]"
39140,"[221910, 391540, 39150, 241600, 105450]"
39150,"[221910, 39140, 391540, 204030, 105450]"
40100,"[204880, 244160, 65980, 58610, 226840]"
41070,"[8190, 201870, 9200, 17410, 298110]"
41500,"[201790, 102600, 200710, 207170, 102500]"
42700,"[10180, 34830, 55100, 57900, 22350]"
42910,"[241600, 209080, 207140, 2600, 316010]"
44350,"[234630, 311210, 298110, 234140, 313160]"
45760,"[250320, 110800, 15620, 3830, 9450]"
47810,"[204880, 58610, 244160, 65980, 40100]"
48000,"[57300, 17470, 4500, 18500, 3900]"
48190,"[250320, 110800, 3830, 45760, 108710]"
48240,"[245620, 57690, 226840, 2600, 17450]"
48700,"[102500, 4500, 265930, 204030, 220440]"
49520,"[261640, 200170, 212070, 245170, 45760]"
50130,"[9480, 67370, 22600, 55100, 22350]"
50300,"[24740, 204100, 67370, 21100, 17410]"
55100,"[67370, 228200, 204100, 231430, 24740]"
55150,"[242700, 209000, 15620, 9450, 228200]"
55230,"[9480, 221040, 99900, 245170, 48190]"
57300,"[48000, 17470, 4500, 18500, 3900]"
57690,"[245620, 48240, 2600, 17450, 226840]"
57900,"[34830, 239160, 34870, 246620, 242050]"
58610,"[251060, 204880, 40100, 244160, 65980]"
65800,"[22350, 9900, 18500, 39120, 323470]"
65980,"[204880, 226840, 244160, 40100, 289130]"
67370,"[50300, 204100, 24740, 201870, 55100]"
72850,"[9900, 104900, 41500, 266840, 9480]"
99900,"[224600, 333930, 224260, 200170, 265630]"
102500,"[215530, 41500, 48700, 201790, 102600]"
102600,"[201790, 207170, 245170, 41500, 215530]"
104900,"[238320, 10680, 16450, 234140, 58610]"
105450,"[391540, 39140, 221910, 239160, 39150]"
105600,"[239070, 200210, 55150, 104900, 265930]"
107100,"[219150, 238010, 316010, 234650, 3830]"
107410,"[344760, 313120, 282070, 9900, 248570]"
108600,"[220200, 244850, 359320, 211820, 219640]"
108710,"[209000, 242700, 307780, 55150, 9480]"
109600,"[386360, 242720, 344760, 291550, 39120]"
110800,"[250320, 45760, 48190, 17410, 221040]"
113200,"[250900, 17500, 218680, 262060, 241600]"
113400,"[302830, 291480, 389570, 212070, 265630]"
200170,"[333930, 224600, 207140, 99900, 49520]"
200210,"[259080, 10090, 233720, 265630, 242720]"
200510,"[235600, 200170, 316010, 313160, 18500]"
200710,"[41500, 316010, 238430, 210770, 215530]"
201790,"[102600, 207170, 245170, 41500, 215530]"
201810,"[287390, 286690, 238090, 242050, 238010]"
201870,"[17410, 24740, 204100, 67370, 41070]"
