game_id,similar_games
10,"[30, 6370, 70000, 223710, 312990]"
30,"[130, 50, 70, 10, 214420]"
50,"[130, 70, 30, 214420, 1840]"
70,"[50, 130, 30, 214420, 1840]"
80,"[302510, 113400, 280790, 313160, 206210]"
130,"[50, 70, 30, 214420, 1840]"
220,"[380, 420, 280, 320, 47410]"
240,"[300, 320, 334230, 1200, 99900]"
280,"[220, 380, 420, 251570, 12110]"
300,"[240, 320, 48000, 334230, 130]"
320,"[240, 300, 24200, 420, 380]"
340,"[40970, 3900, 33460, 6020, 231160]"
380,"[220, 420, 280, 320, 340]"
400,"[620, 298110, 320, 208200, 220]"
420,"[380, 220, 280, 320, 340]"
440,"[1840, 300, 335240, 248570, 334230]"
500,"[17450, 32360, 41500, 42910, 228280]"
550,"[250320, 238010, 10150, 200900, 254700]"
570,"[331470, 262410, 6370, 285310, 339280]"
620,"[400, 26800, 285310, 1840, 70300]"
630,"[9880, 17500, 320, 334230, 216890]"
730,"[334230, 203290, 355840, 212160, 216150]"
1200,"[268050, 287700, 305620, 311340, 242860]"
1250,"[232090, 208500, 274170, 285310, 16450]"
1840,"[108600, 265930, 17080, 332800, 50]"
1930,"[40390, 57690, 245620, 48240, 238210]"
2600,"[239160, 245620, 246620, 57690, 300550]"
3720,"[233450, 245620, 48240, 220200, 57690]"
3830,"[231160, 214770, 225080, 201790, 3900]"
3900,"[40970, 17450, 340, 32430, 33460]"
3910,"[346900, 385770, 8930, 334230, 230050]"
3920,"[239820, 58520, 270850, 332310, 201810]"
4000,"[237310, 265210, 248570, 263760, 317360]"
4500,"[41700, 291650, 268420, 91700, 268750]"
4570,"[215530, 220440, 102500, 222480, 214950]"
4580,"[105450, 45740, 223710, 242050, 242700]"
4770,"[214950, 4780, 48700, 251570, 307690]"
4780,"[226860, 288470, 212630, 214950, 39680]"
4920,"[58610, 244160, 251060, 222750, 244850]"
6000,"[253980, 294860, 9350, 40950, 226720]"
6020,"[40970, 253980, 6000, 340, 294860]"
6030,"[6000, 9350, 226720, 40950, 294860]"
6370,"[219640, 386360, 339280, 233130, 291550]"
6910,"[268420, 45700, 242860, 9340, 256290]"
7600,"[242920, 282070, 248390, 245470, 291650]"
7830,"[231430, 20540, 228200, 244450, 287450]"
7940,"[22300, 17080, 211500, 45700, 247000]"
8190,"[259080, 220200, 45740, 265210, 48190]"
8500,"[316010, 24960, 22000, 48000, 207690]"
8600,"[44350, 255220, 211500, 333930, 241560]"
8870,"[256290, 22300, 12810, 235460, 204100]"
8930,"[3910, 65980, 316790, 47410, 202200]"
9200,"[287390, 21100, 17330, 17300, 108800]"
9340,"[39680, 6910, 226860, 212630, 32430]"
9350,"[9420, 40950, 226720, 294860, 6000]"
9420,"[9350, 40950, 226720, 294860, 40100]"
9450,"[20570, 9350, 40950, 226720, 294860]"
9480,"[214770, 205650, 219890, 22600, 232430]"
9880,"[39120, 98200, 206480, 233450, 24720]"
9900,"[32370, 208580, 202200, 300550, 266840]"
10090,"[285310, 212800, 286160, 380600, 254700]"
10150,"[115320, 108800, 17300, 16450, 287390]"
10180,"[42700, 334230, 17450, 232890, 212500]"
10680,"[331470, 244210, 234630, 237310, 264710]"
11450,"[40300, 57690, 245620, 48240, 3900]"
12100,"[12110, 12120, 266840, 280, 12210]"
12110,"[12120, 12100, 266840, 7600, 280]"
12120,"[12110, 12100, 266840, 225420, 280]"
12200,"[205650, 232790, 219890, 232430, 12220]"
12210,"[12220, 12200, 12100, 232890, 221640]"
12220,"[12210, 12200, 211400, 242860, 242700]"
12810,"[115100, 225080, 235540, 235460, 65930]"
13520,"[287390, 17300, 16450, 108800, 286690]"
15620,"[20570, 247000, 9450, 216890, 290790]"
16450,"[108800, 17330, 287390, 13520, 17300]"
17080,"[319510, 332800, 265930, 233720, 17390]"
17300,"[286690, 287390, 108800, 17330, 13520]"
17330,"[108800, 17300, 16450, 287390, 21090]"
17390,"[233720, 332800, 265930, 319510, 298630]"
17410,"[49600, 253030, 24740, 221040, 267530]"
17450,"[32430, 57690, 3900, 11450, 40970]"
17460,"[24980, 204030, 47810, 18500, 3900]"
17470,"[268420, 208730, 57300, 268750, 6910]"
17500,"[238430, 70000, 210770, 236090, 286160]"
18500,"[97000, 41800, 289130, 91200, 41070]"
20540,"[231430, 7830, 228200, 287450, 244450]"
20570,"[55150, 15620, 9450, 247000, 233450]"
20920,"[207170, 228280, 300550, 3830, 307780]"
21090,"[16450, 17330, 108800, 330830, 13520]"
21100,"[9200, 67370, 50300, 45760, 204100]"
21690,"[225080, 115100, 12810, 235540, 65930]"
22000,"[207690, 40700, 239820, 270850, 332310]"
22100,"[208730, 268420, 48700, 242860, 256290]"
22300,"[363970, 7940, 258520, 391540, 98800]"
22350,"[40100, 9420, 212630, 9200, 226860]"
22370,"[248390, 282440, 247000, 24740, 7600]"
22380,"[266840, 267530, 58520, 207170, 203290]"
22600,"[33460, 26800, 209080, 63710, 214770]"
24200,"[206210, 216150, 320, 113400, 304030]"
24240,"[242860, 227100, 39680, 13520, 230050]"
24720,"[98200, 9880, 244850, 233450, 313120]"
24740,"[201870, 41070, 55100, 17410, 307780]"
24960,"[8500, 212630, 304030, 9880, 282440]"
24980,"[17460, 204030, 47810, 3900, 18500]"
25890,"[236850, 203770, 42960, 208520, 212500]"
26800,"[63710, 22600, 209080, 32360, 205650]"
32360,"[205650, 219890, 232790, 232430, 224760]"
32370,"[208580, 9900, 202200, 300550, 266840]"
32430,"[17450, 57690, 39680, 9340, 3900]"
33460,"[22600, 3900, 340, 40970, 244850]"
33900,"[33930, 203290, 263760, 113400, 45760]"
33930,"[33900, 203290, 263760, 113400, 30]"
34830,"[34870, 280790, 41070, 21100, 214340]"
34870,"[34830, 226720, 9350, 280790, 40950]"
35130,"[205650, 232430, 219890, 232790, 32360]"
39120,"[206480, 233450, 98200, 9880, 313120]"
39140,"[39150, 245470, 289650, 292120, 290790]"
39150,"[39140, 245470, 290790, 292120, 249050]"
39680,"[9340, 212630, 226860, 32430, 288470]"
40100,"[22350, 9420, 22000, 9350, 8500]"
40300,"[11450, 57690, 245620, 48240, 97330]"
